"ОБВРСКИ ПО БУЏЕТСКИ КОРИСНИЦИ, СМЕТКА 630 (ВО ДЕНАРИ)","",""
"Ставка","назив","Неплатени обврски до 31.05.2017"
"05001     ","МИНИСТЕРСТВО ЗА ОДБРАНА","21026000.0"
"05002     ","ДИРЕКЦИЈА ЗА БЕЗБЕДНОСТ НА КЛАСИФИЦИРАНИ ИНФОРМАЦИИ","103170.0"
"05003     ","ДИРЕКЦИЈА ЗА ЗАШТИТА И СПАСУВАЊЕ","1196119.0"
"05004     ","ЦЕНТАР ЗА УПРАВУВАЊЕ СО КРИЗИ","4564000.0"
"06001     ","МИНИСТЕРСТВО ЗА ВНАТРЕШНИ РАБОТИ","424901940.0"
"07001     ","МИНИСТЕРСТВО ЗА ПРАВДА","29177389.0"
"07002     ","УПРАВА ЗА ИЗВРШУВАЊЕ НА САНКЦИИ","128866442.0"
"07003     ","УПРАВА ЗА ВОДЕЊЕ НА МАТИЧНИТЕ КНИГИ","0.0"
"07004     ","БИРО ЗА ЗАСТАПУВАЊЕ НА РМ ПРЕД ЕВРОПСКИОТ СУД ЗА ЧОВЕКОВИ ПРАВА","721.0"
"08001     ","МИНИСТЕРСТВО ЗА НАДВОРЕШНИ РАБОТИ","240255.0"
"09001     ","МИНИСТЕРСТВО ЗА ФИНАНСИИ","2536068.0"
"09002     ","МИНИСТЕРСТВО ЗА ФИНАНСИИ - ФУНКЦИИ НА ДРЖАВАТА","0.0"
"09003     ","ЦАРИНСКА УПРАВА НА РЕПУБЛИКА МАКЕДОНИЈА","1999482.0"
"09004     ","АГЕНЦИЈА ЗА СТОКОВНИ РЕЗЕРВИ","0.0"
"09005     ","УПРАВА ЗА ЈАВНИ ПРИХОДИ","0.0"
"09006     ","УПРАВА ЗА ФИНАНСИСКА ПОЛИЦИЈА","26733.0"
"09007     ","ДИРЕКЦИЈА ЗА ЗАДОЛЖИТЕЛНИ РЕЗЕРВИ НА НАФТА И НАФТЕНИ ДЕРИВАТИ","0.0"
"09008     ","ДРЖАВЕН ДЕВИЗЕН ИНСПЕКТОРАТ","301942.0"
"09009     ","СОВЕТ ЗА ЈАВНИ НАБАВКИ","0.0"
"10001     ","МИНИСТЕРСТВО ЗА ЕКОНОМИЈА","9665660.0"
"10002     ","АГЕНЦИЈА ЗА СТРАНСКИ ИНВЕСТИЦИИ И ПРОМОЦИЈА НА ИЗВОЗОТ НА РМ","79777525.0"
"10003     ","АГЕНЦИЈА ЗА ПРОМОЦИЈА И ПОДДРШКА НА ТУРИЗМОТ","5056470.0"
"10004     ","ДИРЕКЦИЈА ЗА ТЕХНОЛОШКИ ИНДУСТРИСКИ РАЗВОЈНИ ЗОНИ",""
"10005     ","ДРЖАВЕН ПАЗАРЕН ИНСПЕКТОРАТ","503300.0"
"10006     ","ДРЖАВЕН ИНСПЕКТОРАТ ЗА ТЕХНИЧКА ИНСПЕКЦИЈА","324275.0"
"11002     ","ДРЖАВЕН ЗАВОД ЗА ЗАШТИТА НА ИНДУСТРИСКА СОПСТВЕНОСТ","0.0"
"12101     ","МИНИСТЕРСТВО ЗА ЖИВОТНА СРЕДИНА И ПРОСТОРНО ПЛАНИРАЊЕ","10170218.0"
"12102     ","ДРЖАВЕН ИНСПЕКТОРАТ ЗА ЖИВОТНА СРЕДИНА","462581.0"
"13001     ","МИНИСТЕРСТВО ЗА ТРАНСПОРТ И ВРСКИ","32927362.0"
"13004     ","ДРЖАВЕН ИНСПЕКТОРАТ ЗА ТРАНСПОРТ","942238.0"
"13005     ","ДРЖАВЕН ИНСПЕКТОРАТ ЗА ГРАДЕЖНИШТВО И УРБАНИЗАМ","83230.0"
"13006     ","ДРЖАВЕН КОМУНАЛЕН ИНСПЕКТОРАТ","1632721.0"
"14001     ","МИНИСТЕРСТВО ЗА ЗЕМЈОДЕЛСТВО, ШУМАРСТВО И ВОДОСТОПАНСТВО","21254602.0"
"14002     ","АГЕНЦИЈА ЗА ПОТТИКНУВАЊЕ НА РАЗВОЈОТ НА ЗЕМЈОДЕЛСТВОТО  - БИТОЛА","492692.0"
"14003     ","УПРАВА ЗА ХИДРОМЕТЕОРОЛОШКИ РАБОТИ","9571087.0"
"14004     ","АГЕНЦИЈА ЗА ФИНАНСИСКА ПОДДРШКА ВО ЗЕМЈОДЕЛСТВОТО И РУРАЛНИОТ РАЗВОЈ","14009670.0"
"14005     ","АГЕНЦИЈА ЗА ХРАНА И ВЕТЕРИНАРСТВО НА РЕПУБЛИКА МАКЕДОНИЈА","163690312.0"
"14006     ","ДРЖАВЕН ИНСПЕКТОРАТ ЗА ЗЕМЈОДЕЛСТВО","190408.0"
"14007     ","ДРЖАВЕН ИНСПЕКТОРАТ ЗА ШУМАРСТВО И ЛОВСТВО","453168.0"
"15001     ","МИНИСТЕРСТВО ЗА ТРУД И СОЦИЈАЛНА ПОЛИТИКА","63543050.0"
"15002     ","ДРЖАВЕН ИНСПЕКТОРАТ ЗА ТРУД","4652740.0"
"16001     ","МИНИСТЕРСТВО ЗА ОБРАЗОВАНИЕ И НАУКА","401980879.0"
"16002     ","БИРО ЗА РАЗВОЈ НА ОБРАЗОВАНИЕТО","5193236.0"
"16003     ","НАЦИОНАЛНА АГЕНЦИЈА ЗА ЕВРОПСКИ ОБРАЗОВНИ ПРОГРАМИ И МОБИЛНОСТ","0.0"
"16004     ","ДРЖАВЕН ПРОСВЕТЕН ИНСПЕКТОРАТ","508862.0"
"16101     ","АГЕНЦИЈА ЗА МЛАДИ И СПОРТ","52516.0"
"17001     ","МИНИСТЕРСТВО ЗА ИНФОРМАТИЧКО ОПШТЕСТВО И АДМИНИСТРАЦИЈА","1573082.0"
"17002     ","ДРЖАВЕН УПРАВЕН ИНСПЕКТОРАТ","0.0"
"18001     ","МИНИСТЕРСТВО ЗА КУЛТУРА","23594978.0"
"18010     ","ФИНАНСИРАЊЕ НА ДЕЈНОСТИТЕ ОД ОБЛАСТА НА КУЛТУРАТА","2426793637.0"
"19001     ","МИНИСТЕРСТВО ЗА ЗДРАВСТВО","551080240.0"
"19002     ","ДРЖАВЕН, САНИТАРЕН И ЗДРАВСТВЕН ИНСПЕКТОРАТ","0.0"
"19101     ","МИНИСТЕРСТВО ЗА ЛОКАЛНА САМОУПРАВА","4643770.0"
"19102     ","ДРЖАВЕН ИНСПЕКТОРАТ ЗА ЛОКАЛНА САМОУПРАВА","0.0"
"19201     ","АГЕНЦИЈА ЗА ИСЕЛЕНИШТВО","1667587.0"
"19302     ","КОМИСИЈА ЗА ЗАШТИТА НА ПРАВОТО ЗА СЛОБОДЕН ПРИСТАП ДО ИНФОРМАЦИИТЕ ОД ЈАВЕН КАРАКТЕР","896256.0"
"20001     ","КОМИСИЈА ЗА ОДНОСИ СО ВЕРСКИТЕ ЗАЕДНИЦИ И РЕЛИГИОЗНИ ГРУПИ","64713.0"
"21001     ","АГЕНЦИЈА ЗА КАТАСТАР НА НЕДВИЖНОСТИ","0.0"
"22001     ","ДРЖАВЕН ЗАВОД ЗА СТАТИСТИКА","1053513.0"
"24001     ","ДРЖАВЕН АРХИВ НА РЕПУБЛИКА МАКЕДОНИЈА","551149.0"
"25001     ","БИРО ЗА СУДСКИ ВЕШТАЧЕЊА","0.0"
"26001     ","МАКЕДОНСКА АКАДЕМИЈА НА НАУКИТЕ И УМЕТНОСТИТЕ","0.0"
"28001     ","БИРО ЗА РЕГИОНАЛЕН РАЗВОЈ","0.0"
"29010     ","СУДСКА ВЛАСТ","98562837.0"
"31010     ","ЈАВНО ОБВИНИТЕЛСТВО НА РЕПУБЛИКА МАКЕДОНИЈА","23087449.0"
"31101     ","НАРОДЕН ПРАВОБРАНИТЕЛ","82847.0"
"ВКУПНО 1","","4678200708.0"
"66002     ","ФОНД ЗА ЗДРАВСТВЕНО ОСИГУРУВАЊЕ НА МАКЕДОНИЈА","24747000.0"
"66003     ","АГЕНЦИЈА ЗА ВРАБОТУВАЊЕ НА РЕПУБЛИКА МАКЕДОНИЈА","0.0"
"66004     ","ФОНД НА ПЕНЗИСКОТО И ИНВАЛИДСКОТО ОСИГУРУВАЊЕ НА МАКЕДОНИЈА","4902845.0"
"ВКУПНО 2","","29649845.0"
