"Вкупно за сите ЈЗУ","",""
"ПРЕГЛЕД","",""
"на состојбата на неплатени обврски на ЈЗУ","",""
" 2017 година (во денари)","",""
"","",""
"р.бр.","Здравствена установа","мај"
"105.0","Центар за јавно здравје-Куманово","0.0"
"106.0","Центар за јавно здравје-Скопје","47205586.0"
"107.0","Центар за јавно здравје-Струмица","70207.0"
"108.0","Центар за јавно здравје-Тетово","4924235.0"
"109.0","Центар за јавно здравје-Штип","41436.0"
"110.0","Центар за јавно здравје-Охрид","4363330.0"
"111.0","Медицина на трудот","1627816.0"
"112.0","Здравствена станица Липково","0.0"
"113.0","Универзитетска клиника за државна кардиохирургија-Скопје","17590306.0"
"","ВКУПНО:","3182517472.0"
